"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"396",693,693,"G-Bay","IMRP","2024-09-10T19:27:47Z",80,90,-79.86233,44.8645320000001,c(589876.873803244, 4968531.30237124),396,0.0927858238922407,0.0927858238922407,1.09147412712845,1.09147412712845
"397",694,694,"G-Bay","IMRP","2024-09-10T19:28:39Z",80,100,-79.862291,44.8645770000001,c(589879.884807357, 4968536.34435095),397,0.0947253540057449,0.0947253540057449,1.06271378342923,1.06271378342923
"398",695,695,"G-Bay","IMRP","2024-09-10T19:29:03Z",80,90,-79.8623269999999,44.8646010000001,c(589877.003428753, 4968538.97054383),398,0.0905950110157255,0.0905950110157255,1.05818622241757,1.05818622241757
"399",696,696,"G-Bay","IMRP","2024-09-10T19:29:20Z",100,90,-79.862354,44.8645740000001,c(589874.912423305, 4968535.94137251),399,0.088945089872162,0.088945089872162,1.08911527096394,1.08911527096394
"400",697,697,"G-Bay","IMRP","2024-09-10T19:29:36Z",80,90,-79.862379,44.864521,c(589873.019876691, 4968530.02621),400,0.0886924119119222,0.0886924119119222,1.09071786143303,1.09071786143303
"401",698,698,"G-Bay","IMRP","2024-09-10T19:29:45Z",80,90,-79.862424,44.8644840000001,c(589869.522409826, 4968525.86627241),401,0.0854717236416225,0.0854717236416225,1.09260886079352,1.09260886079352
"402",699,699,"G-Bay","IMRP","2024-09-10T19:29:55Z",90,80,-79.8624829999999,44.864452,c(589864.911144339, 4968522.24626875),402,0.0802703967015249,0.0802703967015249,1.11828131914753,1.11828131914753
"403",700,700,"G-Bay","IMRP","2024-09-10T19:30:05Z",80,80,-79.862524,44.8644190000001,c(589861.723448441, 4968518.53510115),403,0.0772160839913493,0.0772160839913493,1.10766276501977,1.10766276501977
"404",701,701,"G-Bay","IMRP","2024-09-10T19:32:25Z",100,80,-79.862486,44.864359,c(589864.818846441, 4968511.91206127),404,0.0822446882628885,0.0822446882628885,1.15557260120407,1.15557260120407
"405",702,702,"G-Bay","IMRP","2024-09-10T19:32:49Z",100,90,-79.8625279999999,44.8642830000001,c(589861.619048011, 4968503.42314036),405,0.0815672723371297,0.0815672723371297,1.22393272124841,1.22393272124841
"406",703,703,"G-Bay","IMRP","2024-09-10T19:33:00Z",100,100,-79.8625499999999,44.8642560000001,c(589859.923029523, 4968500.39950701),406,0.0806806892363732,0.0806806892363732,1.22835392641065,1.22835392641065
"407",704,704,"G-Bay","IMRP","2024-09-10T19:33:20Z",90,90,-79.862671,44.8642340000001,c(589850.398101176, 4968497.82176075),407,0.0721105386846177,0.0721105386846177,1.22380267172398,1.22380267172398
"408",705,705,"G-Bay","IMRP","2024-09-10T19:33:36Z",80,70,-79.862748,44.864225,c(589844.329001316, 4968496.73680824),408,0.0677132779704452,0.0677132779704452,0.942759356549941,0.942759356549941
"409",706,706,"G-Bay","IMRP","2024-09-10T19:33:47Z",90,65,-79.862807,44.8642160000001,c(589839.681923447, 4968495.671774),409,0.0640079654846312,0.0640079654846312,0.937894440694883,0.937894440694883
"410",707,707,"G-Bay","IMRP","2024-09-10T19:33:56Z",100,70,-79.8628399999999,44.864202,c(589837.096656355, 4968494.08008065),410,0.0624418028648345,0.0624418028648345,0.937203806472101,0.937203806472101
"411",708,708,"G-Bay","IMRP","2024-09-10T19:34:07Z",100,60,-79.862852,44.8641730000001,c(589836.1937486, 4968490.8453465),411,0.0634298667463053,0.0634298667463053,0.947766270535556,0.947766270535556
"412",709,709,"G-Bay","IMRP","2024-09-10T19:34:29Z",100,60,-79.862874,44.864113,c(589834.549043958, 4968484.15592143),412,0.063899988478152,0.063899988478152,0.948723963156186,0.948723963156186
"413",710,710,"G-Bay","IMRP","2024-09-10T19:34:37Z",100,70,-79.8628849999999,44.8640790000001,c(589833.732911905, 4968480.36686987),413,0.0622743584272795,0.0622743584272795,1.15191340370447,1.15191340370447
"414",711,711,"G-Bay","IMRP","2024-09-10T19:34:48Z",100,65,-79.862892,44.864046,c(589833.231229633, 4968476.69332794),414,0.0613748385800684,0.0613748385800684,1.1517343469121,1.1517343469121
"415",712,712,"G-Bay","IMRP","2024-09-10T19:34:58Z",100,65,-79.862903,44.8640060000001,c(589832.424427996, 4968472.23776777),415,0.0603122200802039,0.0603122200802039,1.18709299851846,1.18709299851846
"416",713,713,"G-Bay","IMRP","2024-09-10T19:35:10Z",100,70,-79.862907,44.8639680000001,c(589832.167526034, 4968468.01212046),416,0.0597398955911223,0.0597398955911223,1.19489035236883,1.19489035236883
"417",714,714,"G-Bay","IMRP","2024-09-10T19:35:18Z",100,70,-79.8629099999999,44.863931,c(589831.988069959, 4968463.89866416),417,0.0512606539605038,0.0512606539605038,1.18510816080873,1.18510816080873
"418",715,715,"G-Bay","IMRP","2024-09-10T19:35:30Z",90,80,-79.862897,44.8638950000001,c(589833.071086434, 4968459.91399131),418,0.0489625275177821,0.0489625275177821,1.18439106291602,1.18439106291602
"419",716,716,"G-Bay","IMRP","2024-09-10T19:35:43Z",90,80,-79.8628399999999,44.863865,c(589837.620851237, 4968456.64450048),419,0.0362919211879148,0.0362919211879148,1.16582237776133,1.16582237776133
"420",717,717,"G-Bay","IMRP","2024-09-10T19:36:08Z",100,90,-79.862718,44.8638950000001,c(589847.212402653, 4968460.11201147),420,0.0644696432358155,0.0644696432358155,1.16374338348502,1.16374338348502
"421",718,718,"G-Bay","IMRP","2024-09-10T19:37:17Z",100,70,-79.862836,44.8641030000001,c(589837.566654575, 4968483.08710939),421,0.0643194514125316,0.0643194514125316,0.902509721479641,0.902509721479641
"422",719,719,"G-Bay","IMRP","2024-09-10T19:37:25Z",100,80,-79.862899,44.8641180000001,c(589832.566230272, 4968484.68369095),422,0.0626156941890458,0.0626156941890458,1.18940087606425,1.18940087606425
