"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"212",212,212,"Ontario","IMRP","2024-08-07T18:55:31Z",0,21,-77.024054,44.033487,c(818597.49319308, 4883282.08358627),212,0.0047997479709406,0.0047997479709406,0.793349641998587,0.793349641998587
"213",213,213,"Ontario","IMRP","2024-08-07T18:56:27Z",0,35,-77.0240879999999,44.0335160000001,c(818594.612958458, 4883285.17320727),213,0.00660262419698476,0.00660262419698476,0.792015752744595,0.792015752744595
"214",214,214,"Ontario","IMRP","2024-08-07T18:56:47Z",0,34,-77.024143,44.0335430000001,c(818590.060612372, 4883287.95937426),214,0.00347412127194538,0.00347412127194538,0.791833275598839,0.791833275598839
"215",215,215,"Ontario","IMRP","2024-08-07T18:57:19Z",40,67,-77.024121,44.0335860000001,c(818591.59284447, 4883292.82088385),215,0.00937040764465559,0.00937040764465559,0.946751722479941,0.946751722479941
"216",216,216,"Ontario","IMRP","2024-08-07T18:57:55Z",50,67,-77.0240489999999,44.0335710000001,c(818597.443095769, 4883291.43346508),216,0.0126118688139175,0.0126118688139175,0.947292071432102,0.947292071432102
"217",217,217,"Ontario","IMRP","2024-08-07T18:58:29Z",60,68,-77.023973,44.0335420000001,c(818603.689022836, 4883288.50645079),217,0.0131803988532061,0.0131803988532061,0.949767731477874,0.949767731477874
"218",218,218,"Ontario","IMRP","2024-08-07T18:59:01Z",40,63,-77.023918,44.0335240000001,c(818608.193076276, 4883286.71999164),218,0.012186510251338,0.012186510251338,0.949459795362697,0.949459795362697
"219",219,219,"Ontario","IMRP","2024-08-07T18:59:34Z",50,63,-77.0238689999999,44.0335200000001,c(818612.141186125, 4883286.46539223),219,0.0125006864419868,0.0125006864419868,0.949811006270002,0.949811006270002
"220",220,220,"Ontario","IMRP","2024-08-07T19:00:17Z",0,58,-77.023806,44.0335160000001,c(818617.211194768, 4883286.26499944),220,0.0126506405842113,0.0126506405842113,0.950174175227941,0.950174175227941
"221",221,221,"Ontario","IMRP","2024-08-07T19:01:00Z",0,56,-77.0237099999999,44.0335220000001,c(818624.87201045, 4883287.30315692),221,0.0137110588146257,0.0137110588146257,0.951457227739125,0.951457227739125
"222",222,222,"Ontario","IMRP","2024-08-07T19:01:39Z",0,55,-77.0236199999999,44.0335250000001,c(818632.068112014, 4883287.98485894),222,0.0142213504062976,0.0142213504062976,0.952306767273975,0.952306767273975
"223",223,223,"Ontario","IMRP","2024-08-07T19:02:08Z",0,25,-77.023622,44.0334710000001,c(818632.197656141, 4883281.97892274),223,0.00739948599560744,0.00739948599560744,0.949092428013796,0.949092428013796
"224",224,224,"Ontario","IMRP","2024-08-07T19:03:07Z",0,26,-77.023538,44.0334740000001,c(818638.912949717, 4883282.63740044),224,0.00810145147101701,0.00810145147101701,0.950261620651177,0.950261620651177
"225",225,225,"Ontario","IMRP","2024-08-07T19:03:39Z",0,19,-77.023447,44.0334930000001,c(818646.103317173, 4883285.10023185),225,0.0105313698976195,0.0105313698976195,0.952120789239031,0.952120789239031
"226",226,226,"Ontario","IMRP","2024-08-07T19:04:04Z",0,19,-77.0233689999999,44.0335020000001,c(818652.30559011, 4883286.40195672),226,0.0114058122895068,0.0114058122895068,0.952861233845179,0.952861233845179
"227",227,227,"Ontario","IMRP","2024-08-07T19:04:26Z",0,26,-77.023263,44.033514,c(818660.735555604, 4883288.14534368),227,0.0112403855329246,0.0112403855329246,0.953465537692566,0.953465537692566
"228",228,228,"Ontario","IMRP","2024-08-07T19:04:56Z",0,27,-77.023139,44.0335190000001,c(818670.645531341, 4883289.18090108),228,0.00838189680849908,0.00838189680849908,0.951996607619647,0.951996607619647
"229",229,229,"Ontario","IMRP","2024-08-07T19:05:26Z",0,33,-77.023038,44.0335380000001,c(818678.637238644, 4883291.68249289),229,0.00783498522970236,0.00783498522970236,0.683205663813221,0.683205663813221
"230",230,230,"Ontario","IMRP","2024-08-07T19:05:57Z",0,33,-77.022933,44.033556,c(818686.95485079, 4883294.08850741),230,0.00683559841982144,0.00683559841982144,0.68343631300981,0.68343631300981
"231",231,231,"Ontario","IMRP","2024-08-07T19:06:23Z",0,67,-77.0229439999999,44.033617,c(818685.745919392, 4883300.82164498),231,0.014066249519535,0.014066249519535,0.704241449469337,0.704241449469337
"232",232,232,"Ontario","IMRP","2024-08-07T19:07:19Z",0,65,-77.023027,44.033621,c(818679.073205468, 4883300.94453445),232,0.0173084850471744,0.0173084850471744,0.973771929262013,0.973771929262013
"233",233,233,"Ontario","IMRP","2024-08-07T19:08:17Z",0,55,-77.0231439999999,44.0336270000001,c(818669.665152123, 4883301.15792415),233,0.0215936813014301,0.0215936813014301,0.961434988968715,0.961434988968715
"234",234,234,"Ontario","IMRP","2024-08-07T19:09:49Z",0,54,-77.02322,44.033644,c(818663.483610907, 4883302.75194531),234,0.0251388212474505,0.0251388212474505,0.961328950292664,0.961328950292664
"235",235,235,"Ontario","IMRP","2024-08-07T19:10:33Z",0,54,-77.0233029999999,44.0336590000001,c(818656.751860213, 4883304.09671117),235,0.0284955573583029,0.0284955573583029,0.960897828828077,0.960897828828077
"236",236,236,"Ontario","IMRP","2024-08-07T19:11:34Z",0,63,-77.023447,44.0337040000001,c(818644.9708387, 4883308.53761345),236,0.0353146075200265,0.0353146075200265,0.961637236409629,0.961637236409629
"237",237,237,"Ontario","IMRP","2024-08-07T19:12:25Z",0,68,-77.0235749999999,44.033752,c(818634.455897904, 4883313.37372024),237,0.0416974755233616,0.0416974755233616,0.964745156155739,0.964745156155739
"238",238,238,"Ontario","IMRP","2024-08-07T19:13:13Z",40,75,-77.023646,44.0337700000001,c(818628.669688672, 4883315.09821047),238,0.0440292633892491,0.0440292633892491,0.965213047675601,0.965213047675601
"239",239,239,"Ontario","IMRP","2024-08-07T19:13:58Z",30,85,-77.023723,44.033782,c(818622.434872603, 4883316.13300883),239,0.0441355018368248,0.0441355018368248,0.965023035333894,0.965023035333894
"240",240,240,"Ontario","IMRP","2024-08-07T19:14:39Z",30,82,-77.02383,44.0337920000001,c(818613.806736023, 4883316.8295057),240,0.0421776379566685,0.0421776379566685,0.963989422203091,0.963989422203091
"241",241,241,"Ontario","IMRP","2024-08-07T19:15:26Z",60,83,-77.023949,44.0337940000001,c(818604.25991223, 4883316.59093333),241,0.0379692797723115,0.0379692797723115,0.959935314414576,0.959935314414576
"242",242,242,"Ontario","IMRP","2024-08-07T19:17:31Z",40,84,-77.024017,44.033821,c(818598.665823722, 4883319.32676281),242,0.0351936248290486,0.0351936248290486,0.960152488166481,0.960152488166481
"243",243,243,"Ontario","IMRP","2024-08-07T19:19:32Z",70,78,-77.024072,44.0337890000001,c(818594.430112865, 4883315.5593454),243,0.0293972967195908,0.0293972967195908,0.957951640458298,0.957951640458298
"244",244,244,"Ontario","IMRP","2024-08-07T19:20:43Z",70,77,-77.024177,44.033714,c(818586.418381535, 4883306.8220224),244,0.0172944682941196,0.0172944682941196,0.952663845688989,0.952663845688989
